,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,East London,-33.0153,27.9116,86.0,48,0,6.91,ZA,1612341477
1,Puerto Ayora,-0.7393,-90.3518,75.99,95,53,1.01,EC,1612341478
2,Hambantota,6.1241,81.1185,77.0,100,90,11.5,LK,1612341478
3,George Town,5.4112,100.3354,88.05,55,20,9.22,MY,1612341210
4,Geraldton,-28.7667,114.6,84.2,61,64,28.77,AU,1612341478
5,Fethiye,36.6217,29.1164,62.6,59,75,10.36,TR,1612341479
6,Torbay,47.6666,-52.7314,29.53,86,90,28.77,CA,1612341316
7,Segovia,41.1667,-4.0,43.7,100,90,4.61,ES,1612341479
8,Ushuaia,-54.8,-68.3,44.6,93,90,41.43,AR,1612341479
9,Kavieng,-2.5744,150.7967,83.41,70,15,7.31,PG,1612341479
10,Bambous Virieux,-20.3428,57.7575,84.13,70,75,12.66,MU,1612341480
11,Atuona,-9.8,-139.0333,77.92,79,50,12.44,PF,1612341480
12,Rikitea,-23.1203,-134.9692,77.68,77,38,14.7,PF,1612341480
13,Ostrovnoy,68.0531,39.5131,19.56,94,99,3.13,RU,1612341480
14,Khatanga,71.9667,102.5,-6.81,92,100,5.64,RU,1612341481
15,Busselton,-33.65,115.3333,66.0,68,0,3.0,AU,1612341481
16,Jamestown,42.097,-79.2353,22.37,86,1,13.8,US,1612341465
17,New Norfolk,-42.7826,147.0587,60.42,49,14,1.99,AU,1612341481
18,Arrecife,28.963,-13.5477,60.8,77,75,6.91,ES,1612341482
19,Mossamedes,-15.1961,12.1522,69.8,78,0,11.5,AO,1612341482
20,Bria,6.5423,21.9863,88.9,25,99,2.46,CF,1612341482
21,Samarinda,-0.5,117.15,80.35,92,100,2.42,ID,1612341482
22,Beloha,-25.1667,45.05,99.41,32,15,9.24,MG,1612341482
23,Panzhihua,26.5851,101.7128,68.0,21,0,1.99,CN,1612341483
24,Sandnessjøen,66.0217,12.6316,14.58,49,40,8.05,NO,1612341483
25,Antofagasta,-23.65,-70.4,60.8,77,0,3.44,CL,1612341483
26,Bengkulu,-3.8004,102.2655,84.76,70,99,9.33,ID,1612341483
27,Raudeberg,61.9875,5.1352,16.27,80,0,9.22,NO,1612341484
28,Hithadhoo,-0.6,73.0833,83.5,68,63,6.93,MV,1612341484
29,Salinas,36.6777,-121.6555,48.31,87,90,6.91,US,1612341435
30,Barrow,71.2906,-156.7887,-25.6,68,1,13.8,US,1612341484
31,Arraial do Cabo,-22.9661,-42.0278,75.34,88,2,21.09,BR,1612341274
32,Samarai,-10.6167,150.6667,82.83,75,73,12.06,PG,1612341485
33,Laas,46.6166,10.7002,32.52,100,90,6.91,IT,1612341485
34,Namatanai,-3.6667,152.4333,80.31,80,87,6.93,PG,1612341485
35,Poronaysk,49.2167,143.1167,-18.89,83,62,4.0,RU,1612341485
36,Mar del Plata,-38.0023,-57.5575,63.81,94,1,3.44,AR,1612341486
37,Hobart,-42.8794,147.3294,61.03,58,75,10.36,AU,1612341486
38,Nizwá,22.9333,57.5333,80.22,16,0,8.08,OM,1612341486
39,Srednekolymsk,67.45,153.6833,-23.57,86,93,4.23,RU,1612341486
40,Cape Town,-33.9258,18.4232,73.85,64,20,24.16,ZA,1612341358
41,Plattsburgh,44.6995,-73.4529,26.2,86,90,20.71,US,1612341487
42,Biskamzha,53.4497,89.5272,26.53,95,100,11.39,RU,1612341487
43,Stornoway,58.2093,-6.3865,38.71,60,40,20.71,GB,1612341487
44,São Geraldo do Araguaia,-6.4006,-48.555,71.31,93,82,1.9,BR,1612341487
45,Brae,60.3964,-1.353,35.6,87,75,5.75,GB,1612341488
46,Maceió,-9.6658,-35.7353,73.4,94,40,3.44,BR,1612341488
47,Porto-Novo,6.4965,2.6036,82.4,94,75,5.46,BJ,1612341488
48,Cabo San Lucas,22.8909,-109.9124,66.0,53,100,1.01,MX,1612341284
49,Norman Wells,65.282,-126.8329,-23.8,76,90,4.61,CA,1612341489
50,Longyearbyen,78.2186,15.6401,21.2,79,75,16.11,SJ,1612341489
51,Hilo,19.7297,-155.09,66.58,73,20,6.91,US,1612341411
52,Bredasdorp,-34.5322,20.0403,73.4,60,12,6.91,ZA,1612341490
53,Kaitangata,-46.2817,169.8464,55.0,70,7,5.77,NZ,1612341490
54,Krasnovishersk,60.4078,57.082,16.66,96,100,8.21,RU,1612341490
55,Hermanus,-34.4187,19.2345,77.0,62,3,4.0,ZA,1612341490
56,Atyashevo,54.5644,46.0691,17.98,94,90,11.74,RU,1612341490
57,Tura,25.5198,90.2201,76.8,34,2,5.08,IN,1612341491
58,Bayan,46.0833,127.4,-12.15,88,15,7.63,CN,1612341491
59,Hashtrūd,37.4779,47.0508,33.22,88,99,0.74,IR,1612341491
60,São Gabriel da Cachoeira,-0.1303,-67.0892,71.42,99,96,2.19,BR,1612341491
61,Margate,51.3813,1.3862,47.71,87,100,3.0,GB,1612341492
62,Upernavik,72.7868,-56.1549,-11.65,80,37,4.0,GL,1612341492
63,Albany,42.6001,-73.9662,26.69,76,99,5.99,US,1612341315
64,Port Macquarie,-31.4333,152.9167,72.0,73,43,5.97,AU,1612341492
65,Norrtälje,59.758,18.705,24.39,91,100,5.99,SE,1612341493
66,Port Moresby,-9.4431,147.1797,86.0,70,20,13.8,PG,1612341359
67,Whitehaven,54.549,-3.5841,39.0,95,100,1.99,GB,1612341493
68,Sur,22.5667,59.5289,75.16,56,0,6.69,OM,1612341493
69,Port Alfred,-33.5906,26.891,79.0,66,0,4.0,ZA,1612341493
70,Santa Maria,-29.6842,-53.8069,73.31,93,99,3.06,BR,1612341494
71,Abay,49.6311,72.8539,28.4,64,75,17.9,KZ,1612341494
72,Yellowknife,62.456,-114.3525,-14.8,76,90,6.91,CA,1612341494
73,Punta Arenas,-53.15,-70.9167,53.29,71,90,21.85,CL,1612341495
74,Kholodnyy,62.7167,147.95,-25.08,80,100,4.32,RU,1612341495
75,Evensk,61.95,159.2333,14.79,91,53,30.94,RU,1612341495
76,Katsuura,35.1333,140.3,47.12,46,0,4.61,JP,1612341495
77,Shakawe,-18.3667,21.85,78.15,74,97,9.46,BW,1612341496
78,Rocha,-34.4833,-54.3333,67.78,94,100,2.17,UY,1612341496
79,Marystown,47.1666,-55.1483,32.43,97,100,36.93,CA,1612341496
80,Tuatapere,-46.1333,167.6833,49.8,82,20,2.46,NZ,1612341496
81,Diadema,-23.6861,-46.6228,68.59,83,0,2.3,BR,1612341497
82,Tuktoyaktuk,69.4541,-133.0374,-36.13,83,10,1.7,CA,1612341497
83,Iroquois Falls,48.7669,-80.6831,-0.4,92,90,8.05,CA,1612341497
84,Bluff,-46.6,168.3333,52.92,80,1,12.01,NZ,1612341498
85,Port Hardy,50.6996,-127.4199,36.59,93,75,2.3,CA,1612341498
86,Qaqortoq,60.7167,-46.0333,14.0,52,0,9.22,GL,1612341498
87,La Ronge,55.1001,-105.2842,15.8,92,100,6.91,CA,1612341498
88,Ekpoma,6.7421,6.139,84.6,65,15,2.71,NG,1612341498
89,Acarí,-15.4311,-74.6158,70.74,65,76,2.98,PE,1612341499
90,Vaini,-21.2,-175.2,75.2,100,90,5.75,TO,1612341499
91,Puerto Carreño,6.189,-67.4859,75.94,73,69,4.14,CO,1612341499
92,Hamilton,39.1834,-84.5333,24.17,80,1,9.22,US,1612341286
